brand,image,colours
adage_studio_project_x_unrefyned,last_three_10.jpg,"Black, Blue, White"
adage_studio_project_x_unrefyned,last_three_2.jpg,"Black, Blue"
adage_studio_project_x_unrefyned,last_three_4.jpg,"Black, Blue"
adage_studio_project_x_unrefyned,last_three_6.jpg,"Black, Grey, White"
adage_studio_project_x_unrefyned,last_three_8.jpg,"Black, White, Blue"
adama_paris,adama_paris_1.jpg,"Yellow, Brown"
adama_paris,adama_paris_10.jpg,"Grey, Yellow, Brown"
adama_paris,adama_paris_13.jpg,"Grey, Brown"
adama_paris,adama_paris_15.jpg,"Black, Yellow, Brown"
adama_paris,adama_paris_17.jpg,"Brown, Orange"
adama_paris,adama_paris_18.jpg,"Black, Grey, Brown"
adama_paris,adama_paris_19.jpg,"Brown, Orange"
adama_paris,adama_paris_21.jpg,Brown
adama_paris,adama_paris_22.jpg,"Cream/Khaki/Beige, Brown"
adama_paris,adama_paris_23.jpg,"Black, Yellow, Brown"
adama_paris,adama_paris_3.jpg,Brown
adama_paris,adama_paris_4.jpg,Brown
adama_paris,adama_paris_6.jpg,"Yellow, Brown"
adama_paris,adama_paris_7.jpg,"Brown, Cream/Khaki/Beige"
adama_paris,adama_paris_9.jpg,Yellow
ajabeng,ajabeng_1.jpg,"Black, Cream/Khaki/Beige, Brown"
ajabeng,ajabeng_10.jpg,Black
ajabeng,ajabeng_11.jpg,Grey
ajabeng,ajabeng_12.jpg,"Black, Cream/Khaki/Beige, Grey"
ajabeng,ajabeng_13.jpg,Black
ajabeng,ajabeng_14.jpg,"Black, Brown, Blue"
ajabeng,ajabeng_15.jpg,"Black, Grey"
ajabeng,ajabeng_2.jpg,"Cream/Khaki/Beige, Yellow"
ajabeng,ajabeng_3.jpg,"Yellow, Black"
ajabeng,ajabeng_4.jpg,"Black, Blue"
ajabeng,ajabeng_5.jpg,Cream/Khaki/Beige
ajabeng,ajabeng_6.jpg,"Grey, White"
ajabeng,ajabeng_7.jpg,"Cream/Khaki/Beige, Brown"
ajabeng,ajabeng_9.jpg,"White, Brown"
ajanee,ajanee_1.jpg,Red
ajanee,ajanee_10.jpg,"Black, Grey, White, Blue"
ajanee,ajanee_11.jpg,Purple
ajanee,ajanee_12.jpg,Red
ajanee,ajanee_13.jpg,"Red, Black"
ajanee,ajanee_14.jpg,White
ajanee,ajanee_15.jpg,"Red, Brown"
ajanee,ajanee_16.jpg,"Black, Cream/Khaki/Beige, Yellow, Purple"
ajanee,ajanee_18.jpg,"Red, Brown"
ajanee,ajanee_19.jpg,"Red, Black"
ajanee,ajanee_3.jpg,"Pink, Blue"
ajanee,ajanee_4.jpg,"Yellow, Cream/Khaki/Beige"
ajanee,ajanee_5.jpg,Yellow
ajanee,ajanee_6.jpg,Grey
ajanee,ajanee_7.jpg,"Black, White, Blue"
ajanee,ajanee_8.jpg,White
ajanee,ajanee_9.jpg,"White, Blue"
babayo,babayo_1.jpg,Brown
babayo,babayo_10.jpg,"Grey, Cream/Khaki/Beige"
